Unnamed: 0,sku,national_inv,lead_time,in_transit_qty,forecast_3_month,forecast_6_month,forecast_9_month,sales_1_month,sales_3_month,sales_6_month,sales_9_month,min_bank,potential_issue,pieces_past_due,perf_6_month_avg,perf_12_month_avg,local_bo_qty,deck_risk,oe_constraint,ppap_risk,stop_auto_buy,rev_stop,went_on_backorder
0,3352105,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
1,3403239,6,,0,0,0,0,0,0,0,0,2,No,0,-99,-99,0,No,No,No,Yes,No,Yes
2,3286560,0,2,0,4,7,7,0,0,0,0,0,No,0,0.7,0.73,0,No,No,No,Yes,No,Yes
3,3299078,7,8,0,11,27,47,2,2,2,2,0,No,0,0.7,0.73,0,No,No,No,Yes,No,Yes
4,3314098,0,8,0,9,14,16,0,0,0,0,1,No,0,0.95,0.94,0,No,No,No,Yes,No,Yes
5,3316047,0,4,0,10,10,10,0,0,0,0,0,No,0,0.57,0.68,0,Yes,No,No,Yes,No,Yes
6,3317147,0,8,0,2,3,4,0,1,2,2,1,No,0,0.56,0.68,0,No,No,No,Yes,No,Yes
7,3319588,0,8,0,22,44,60,0,0,0,0,1,No,0,0.83,0.91,0,No,No,No,Yes,No,Yes
8,3323488,0,2,0,16,16,16,9,21,34,36,0,No,0,0.97,0.96,0,No,No,No,Yes,No,Yes
9,3325147,3,8,0,25,39,53,11,22,36,51,0,No,0,0.51,0.57,0,No,No,No,Yes,No,Yes
10,3325815,0,0,0,6,9,12,1,3,7,8,2,No,0,0,0,0,No,No,No,No,No,Yes
11,3327384,0,2,0,3,3,3,0,0,0,0,0,No,0,0.37,0.34,0,No,No,No,Yes,No,Yes
12,3330191,0,8,0,6,8,10,1,3,6,8,1,No,0,0.99,0.98,0,No,No,Yes,Yes,No,Yes
13,3337956,2,6,0,0,1,1,5,7,14,17,0,No,0,0.79,0.66,0,No,No,No,Yes,No,Yes
14,3342545,0,,0,14,18,18,8,16,16,16,0,No,2,-99,-99,0,No,No,No,Yes,No,Yes
15,3345895,9,8,0,88,88,109,12,32,55,76,15,No,0,0,0,0,No,No,Yes,Yes,No,Yes
16,3347374,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
17,3347792,0,17,0,6,6,6,0,0,1,3,0,No,0,0.7,0.73,0,No,No,No,Yes,No,Yes
18,3350945,10,0,0,30,65,95,9,29,53,73,3,No,0,0,0,0,No,No,Yes,No,No,Yes
19,3356242,0,8,0,4,6,9,2,4,6,7,0,No,0,0.84,0.86,0,No,No,No,Yes,No,Yes
20,3358139,10,12,1,200,300,400,49,151,261,307,29,No,0,0.94,0.87,0,No,No,No,Yes,No,Yes
21,3358233,2,8,0,11,13,15,3,6,15,22,0,No,0,0.82,0.81,0,No,No,No,Yes,No,Yes
22,3359277,108,3,33,684,1134,1602,170,573,940,1282,176,No,0,0.41,0.46,0,No,No,Yes,Yes,No,Yes
23,3373259,4,8,0,5,15,20,0,4,8,20,2,No,0,0.99,0.99,0,No,No,No,Yes,No,Yes
24,3391910,3,8,0,387,387,387,6,13,26,34,0,No,0,0.5,0.52,0,Yes,No,No,No,No,Yes
25,3397963,0,,0,0,0,0,0,0,0,0,0,No,0,-99,-99,0,No,No,No,Yes,No,Yes
26,3415331,4,8,3,48,48,72,15,36,62,87,5,No,0,0.98,0.98,0,No,No,No,Yes,No,Yes
27,3419177,24,2,0,0,0,0,0,0,0,0,1,No,0,0.79,0.71,0,Yes,No,No,Yes,No,Yes
28,3426597,2,8,0,0,0,0,0,0,0,0,1,No,0,0.35,0.36,0,No,No,No,Yes,No,Yes
29,3427400,0,8,0,92,92,92,0,0,0,0,14,No,0,0.79,0.66,0,No,No,Yes,Yes,No,Yes
30,3434768,3,8,1,16,24,32,1,4,20,29,2,No,0,0.8,0.79,0,No,No,No,Yes,No,Yes
31,3435011,1,8,0,0,0,0,1,1,1,1,1,No,0,1,0.99,0,No,No,No,Yes,No,Yes
32,3435388,3,8,0,6,10,15,3,6,11,16,2,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
33,3437159,-1,8,0,13,21,25,1,5,10,16,0,No,0,1,1,1,No,No,No,Yes,No,Yes
34,3438592,3,2,0,0,1,3,2,2,7,7,0,No,0,0.97,0.93,0,No,No,No,Yes,No,Yes
35,3439350,2,8,2,49,85,117,12,36,59,84,12,No,0,0.95,0.96,0,No,No,No,Yes,No,Yes
36,3444593,4,8,0,14,28,28,5,11,44,49,0,No,0,0.82,0.68,0,No,No,No,Yes,No,Yes
37,3448251,0,12,0,8,15,23,0,0,1,2,0,No,0,0.73,0.79,0,No,No,No,Yes,No,Yes
38,3448537,0,4,0,1200,2100,3000,0,0,0,0,959,No,0,0.73,0.78,0,No,No,No,No,No,Yes
39,3449539,13,8,0,14,21,35,6,14,27,43,4,No,0,0.66,0.64,0,No,No,No,Yes,No,Yes
40,3452005,788,22,523,1198,2055,2503,652,1076,1261,1898,462,No,0,0.93,0.89,0,No,No,No,Yes,No,Yes
41,3456011,0,2,1,2,5,7,1,2,5,11,0,No,0,0.97,0.98,0,No,No,No,Yes,No,Yes
42,3465752,1,12,0,4,6,8,1,3,9,11,0,No,0,0.57,0.68,0,No,No,No,Yes,No,Yes
43,3469225,26,3,0,62,152,236,27,57,123,189,10,No,0,0.91,0.91,0,No,No,No,Yes,No,Yes
44,3472589,3,8,0,0,0,0,0,0,1,1,1,No,0,0.83,0.85,0,No,No,No,Yes,No,Yes
45,3474401,8,3,0,72,108,132,12,65,88,130,32,No,0,0.41,0.46,0,No,No,No,Yes,No,Yes
46,3480496,10,8,0,88,136,172,17,50,105,156,23,No,0,0.25,0.31,0,No,No,No,Yes,No,Yes
47,3496595,2,2,0,72,144,216,42,56,65,80,0,No,0,0.99,0.98,0,Yes,No,No,Yes,No,Yes
48,3502627,-102,8,0,215,232,283,1,14,71,133,45,No,0,0.5,0.46,102,No,No,No,Yes,No,Yes
49,3511965,2,9,0,0,1,1,0,0,1,4,0,No,0,0.35,0.41,0,No,No,No,Yes,No,Yes
50,3517577,5,16,0,68,83,113,4,18,54,83,27,No,0,0.66,0.64,0,Yes,No,Yes,Yes,No,Yes
51,3383741,0,8,0,25,40,55,10,27,45,61,0,No,5,0.34,0.57,0,No,No,No,Yes,No,Yes
52,3421527,0,4,0,24,35,46,22,27,46,49,2,No,2,0.84,0.86,0,No,No,No,Yes,No,Yes
53,3504541,-19,8,0,59,59,59,4,13,28,40,2,No,1,0.5,0.46,19,No,No,No,Yes,No,Yes
54,3338442,40,8,12,280,447,612,62,219,419,631,67,No,20,0.75,0.85,0,No,No,No,Yes,No,Yes
55,3459396,0,8,0,19,34,46,1,9,14,21,2,No,1,0.37,0.34,0,No,No,No,Yes,No,Yes
